id,Dorsal,Nombre,Apellido,Team,Posicion,OPS,%_On_Base,Slugging,Fecha Nac,Edad,F_Debut,Lugar_Nacimiento,Pais,Peso,Estatura(mtrs),Mano_Bateo,Mano_Lanzar,Juegos_Jugados,Turnos_Bate,Carrera,Hits,Dobles,Triple,Jonrones,Carreras_Impulsadas,Boletos,Ponches,Bases_Robadas,Atrapado_Robando,Promedio,Link_Ficha_Player,IMC
642708,1,Amed,Rosario,CLE,SS,0.7150000000000001,0.312,0.403,1995-11-20,27,2017-08-01, Dominican Republic,Dominican Republic,86.18,1.88,R,R,153,637,86,180,26,9,11,71,25,111,18,4,0.283,https://www.mlb.com/es/player/642708,24.3832050701675
664761,28,Alec,Bohm,PHI,1B,0.7130000000000001,0.315,0.398,1996-08-03,26,2020-08-13, NE,USA,98.88,1.96,R,R,152,586,79,164,24,3,13,72,31,110,2,3,0.28,https://www.mlb.com/es/player/664761,25.73927530195752
571970,13,Max,Muncy,LAD,3B,0.7130000000000001,0.329,0.384,1990-08-25,32,2015-04-25, TX,USA,97.52,1.83,L,R,136,464,69,91,22,1,21,69,90,141,2,0,0.196,https://www.mlb.com/es/player/571970,29.120009555376388
527038,41,Wilmer,Flores,SF,1B,0.71,0.316,0.394,1991-08-06,31,2013-08-06, Venezuela,Venezuela,96.62,1.88,R,R,151,525,72,120,28,1,19,71,59,103,0,0,0.229,https://www.mlb.com/es/player/527038,27.337030330466277
641820,36,Trey,Mancini,HOU,1B,0.71,0.319,0.391,1992-03-18,31,2016-09-20, FL,USA,104.33,1.91,R,R,143,519,56,124,23,1,18,63,53,135,0,0,0.239,https://www.mlb.com/es/player/641820,28.59844850744223
572228,45,Luke,Voit,WSH,1B,0.71,0.308,0.402,1991-02-13,32,2017-06-25, MO,USA,117.03,1.88,R,R,135,500,55,113,22,0,22,69,55,179,1,1,0.226,https://www.mlb.com/es/player/572228,33.111702127659576
673490,7,Ha-Seong,Kim,SD,2B,0.708,0.325,0.383,1995-10-17,27,2021-04-01, South Korea,South Korea,76.2,1.75,R,R,150,517,58,130,29,3,11,59,51,100,12,2,0.251,https://www.mlb.com/es/player/673490,24.881632653061224
462101,1,Elvis,Andrus,CWS,SS,0.7070000000000001,0.303,0.404,1988-08-26,34,2009-04-06, Venezuela,Venezuela,95.25,1.83,R,R,149,535,66,133,32,0,17,58,39,92,18,4,0.249,https://www.mlb.com/es/player/462101,28.44217504255128
669004,1,MJ,Melendez,KC,RF,0.706,0.313,0.393,1998-11-29,24,2022-05-03, FL,USA,86.18,1.85,L,R,129,460,57,100,21,3,18,62,66,131,2,3,0.217,https://www.mlb.com/es/player/669004,25.18042366691015
657041,28,Lane,Thomas,WSH,RF,0.7050000000000001,0.301,0.404,1995-08-23,27,2019-04-17, TN,USA,89.81,1.83,R,R,146,498,62,120,26,2,17,52,41,132,8,4,0.241,https://www.mlb.com/es/player/657041,26.817761055869088
571657,12,Kyle,Farmer,CIN,3B,0.7010000000000001,0.315,0.386,1990-08-17,32,2017-07-30, GA,USA,92.99,1.83,R,R,145,526,58,134,25,1,14,78,33,99,4,3,0.255,https://www.mlb.com/es/player/571657,27.76732658484875
457705,22,Andrew,McCutchen,MIL,DH,0.7,0.316,0.384,1986-10-10,36,2009-06-04, FL,USA,88.45,1.55,R,R,134,515,66,122,25,0,17,69,57,124,8,6,0.237,https://www.mlb.com/es/player/457705,36.81581685744016
573262,5,Mike,Yastrzemski,SF,CF,0.6970000000000001,0.305,0.392,1990-08-23,32,2019-05-25, MA,USA,80.74,1.55,L,L,148,485,73,104,31,2,17,57,61,141,5,1,0.214,https://www.mlb.com/es/player/573262,33.60665972944849
